bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
157,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","customer can change size of review box by width and height"
158,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check product compare button it compare product or not"
161,"minor","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check scanner optin it scanner it show or not"
162,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check web camera it open or not"
163,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check product compare button it compare product or not"
166,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check that the update of the wishlist is working or not"
167,"major","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check the share wishlist functionality working or not"
169,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check wish list button it highlight and working or not"
170,"normal","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check wishlist button it click 2-3 time ti perfectly working or not"
171,"minor","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check compare this product it product it add to compare this product"
173,"critical","High","Windows","lakumkinjal55@gmail.com","NEW","---","will check test 11 continu button it keyboar key to enter it working or not"
80,"major","Normal","Windows","lakumkinjal55@gmail.com","NEW","---","Click on continu  button while enter digit in name field it should be not allowed or should be show validation message"
94,"minor","Normal","Windows","lakumkinjal55@gmail.com","NEW","---","will check newsletter button it should be working or not"
